OrderID,ProductID,Quantity,Price,Revenue,ProfitMargin
1,222,1,226.61,226.61,52.62
1,296,1,419.03,419.03,122.74
1,103,3,151.16,453.48,126.57
2,437,1,270.16,270.16,62.21
2,319,3,204.1,612.3,126.81
2,366,2,52.21,104.42,28.09
2,456,2,373.23,746.46,95.97
2,382,1,300.32,300.32,60.59
3,84,1,255.17,255.17,45.48
3,452,1,229.85,229.85,31.84
3,229,1,278.62,278.62,41.11
3,321,3,32.36,97.08,13.39
3,363,3,180.93,542.79,85.46
4,284,1,467.45,467.45,56.74
4,134,2,200.39,400.78,67.88
4,65,3,351.48,1054.44,232.92
5,212,3,207.41,622.23,124.96
5,171,1,195.13,195.13,28.04
5,202,3,325.2,975.6,119.3
6,407,1,399.91,399.91,50.58
6,237,1,315.78,315.78,57.7
6,57,3,478.64,1435.92,296.39
6,300,3,233.73,701.19,139.55
7,13,2,394.89,789.78,231.7
7,307,2,265.63,531.26,85.31
7,86,2,310.12,620.24,82.71
8,246,3,18.86,56.58,7.82
8,42,2,74.67,149.34,31.4
8,386,2,254.76,509.52,107.27
9,104,3,459.1,1377.3,315.89
9,194,1,25.63,25.63,7.07
9,403,2,133.44,266.88,63.94
9,212,1,207.41,207.41,41.91
10,245,2,472.91,945.82,275.55
10,15,1,295.21,295.21,73.79
10,443,2,180.5,361.0,82.4
11,370,2,333.55,667.1,145.48
11,450,1,107.05,107.05,16.14
12,305,3,91.16,273.48,76.46
12,107,2,62.46,124.92,29.49
12,148,1,476.07,476.07,97.2
13,367,3,189.24,567.72,156.74
13,149,1,292.78,292.78,35.88
13,437,1,270.16,270.16,78.25
13,402,1,314.05,314.05,85.6
13,240,2,393.29,786.58,221.34
14,455,3,346.87,1040.61,113.79
14,12,1,164.03,164.03,34.69
14,447,3,452.71,1358.13,403.78
14,346,3,310.69,932.07,191.4
14,73,2,118.47,236.94,62.63
15,394,1,169.15,169.15,50.18
15,220,1,87.04,87.04,22.98
15,242,3,161.12,483.36,89.29
16,272,1,89.3,89.3,16.48
16,132,2,157.8,315.6,76.29
16,54,3,344.68,1034.04,278.56
16,453,2,72.98,145.96,42.6
17,76,1,356.52,356.52,72.46
17,333,1,157.61,157.61,43.51
17,249,1,496.88,496.88,91.09
17,489,3,182.5,547.5,100.58
18,128,2,18.09,36.18,4.9
18,165,1,415.01,415.01,122.95
18,211,2,364.78,729.56,73.76
19,285,2,111.24,222.48,32.6
20,267,3,68.6,205.8,30.22
21,235,3,107.17,321.51,34.39
21,166,2,260.59,521.18,70.56
22,492,2,343.52,687.04,171.3
22,445,1,110.77,110.77,19.71
22,307,3,265.63,796.89,122.47
22,364,1,132.14,132.14,17.36
22,287,2,139.2,278.4,74.3
23,73,2,118.47,236.94,25.09
24,414,2,302.85,605.7,114.1
25,330,1,454.93,454.93,94.2
25,299,1,375.79,375.79,39.96
25,8,2,196.75,393.5,99.78
25,210,1,108.17,108.17,28.2
26,3,2,463.1,926.2,162.91
26,221,2,94.32,188.64,39.84
26,427,3,323.31,969.93,142.16
26,15,2,295.21,590.42,146.87
27,96,1,342.78,342.78,87.17
27,74,3,273.61,820.83,209.54
27,431,2,298.27,596.54,69.37
27,12,2,164.03,328.06,92.73
27,445,1,110.77,110.77,22.88
28,200,2,98.24,196.48,43.03
29,335,2,322.68,645.36,189.75
29,62,3,84.82,254.46,75.41
29,21,1,448.8,448.8,90.43
30,400,2,293.08,586.16,115.94
30,71,1,419.22,419.22,100.51
30,328,3,305.52,916.56,246.31
31,390,2,288.56,577.12,149.89
31,184,1,25.0,25.0,6.32
31,422,2,82.7,165.4,38.66
31,67,2,234.84,469.68,65.73
31,497,3,97.53,292.59,51.17
32,89,3,65.1,195.3,24.69
32,397,2,386.92,773.84,213.63
33,458,2,373.87,747.74,206.69
33,207,1,322.75,322.75,90.4
33,260,2,218.62,437.24,46.38
33,252,1,312.65,312.65,35.36
34,74,2,273.61,547.22,57.66
35,262,1,147.61,147.61,35.38
35,182,1,324.01,324.01,78.11
36,89,2,65.1,130.2,34.66
36,406,3,478.23,1434.69,177.16
36,72,3,41.54,124.62,23.42
36,10,1,451.43,451.43,105.08
37,156,2,327.48,654.96,69.91
38,12,1,164.03,164.03,22.59
38,121,3,52.53,157.59,24.56
39,428,1,456.73,456.73,110.12
39,152,3,275.52,826.56,205.09
40,186,3,411.05,1233.15,132.52
40,357,1,384.1,384.1,74.1
40,81,2,287.2,574.4,120.49
