OrderID,CustomerID,OrderDate,Region,PaymentMethod
1,1419,2025-03-07,South America,Debit Card
2,2,2023-12-02,South America,Debit Card
3,1484,2023-09-03,Asia,Credit Card
4,398,2024-05-15,Asia,PayPal
5,117,2024-02-23,North America,Debit Card
6,1645,2024-06-03,North America,Net Banking
7,1704,2023-08-13,South America,Debit Card
8,321,2025-06-23,South America,UPI
9,538,2024-05-25,South America,Net Banking
10,1294,2025-04-05,Asia,Debit Card
11,1192,2024-03-30,Europe,Debit Card
12,1590,2025-01-05,Europe,UPI
13,1429,2025-01-23,North America,Net Banking
14,193,2025-03-26,Europe,UPI
15,1642,2024-04-17,South America,Credit Card
16,605,2025-06-12,Asia,UPI
17,654,2024-12-05,North America,Credit Card
18,492,2023-12-31,South America,PayPal
19,1816,2024-03-09,South America,Debit Card
20,1211,2023-08-17,Europe,PayPal
21,1444,2024-02-21,Asia,PayPal
22,1649,2023-08-09,South America,Net Banking
23,1482,2024-10-19,Asia,Net Banking
24,156,2025-02-11,South America,Debit Card
25,893,2024-07-17,Asia,PayPal
26,1060,2024-01-15,Europe,PayPal
27,1978,2023-12-01,South America,UPI
28,1530,2024-05-25,Asia,PayPal
29,884,2025-06-01,South America,Credit Card
30,589,2023-08-10,South America,Net Banking
31,1721,2025-02-12,Europe,PayPal
32,1815,2023-09-12,Asia,Debit Card
33,758,2024-04-29,Asia,Net Banking
34,1222,2024-12-21,Europe,UPI
35,492,2024-01-21,Europe,Debit Card
36,105,2024-01-01,Europe,Net Banking
37,946,2024-05-28,South America,PayPal
38,928,2025-03-01,South America,UPI
39,1471,2025-05-26,Europe,PayPal
40,618,2024-09-20,North America,Credit Card
41,1654,2024-05-26,Asia,Debit Card
42,1526,2025-07-06,Asia,Net Banking
43,1273,2025-01-29,South America,PayPal
44,83,2023-09-16,Asia,Credit Card
45,1745,2023-08-17,Asia,Credit Card
46,1790,2025-07-24,Asia,UPI
47,1557,2024-12-03,North America,UPI
48,473,2023-08-26,North America,PayPal
49,1784,2023-12-05,Europe,Debit Card
50,16,2024-03-16,North America,Credit Card
51,194,2024-04-30,North America,Debit Card
52,1089,2025-01-22,South America,Net Banking
53,1564,2024-10-11,North America,Debit Card
54,1169,2025-05-12,Europe,Credit Card
55,34,2025-06-06,South America,Credit Card
56,1426,2024-10-16,South America,UPI
57,1570,2023-10-13,Europe,Net Banking
58,654,2023-09-13,Asia,Net Banking
59,114,2025-06-27,Asia,Credit Card
60,167,2024-06-19,North America,Debit Card
61,784,2025-05-28,Asia,Debit Card
62,1599,2024-01-14,North America,UPI
63,182,2024-09-24,South America,UPI
64,937,2024-06-20,North America,Net Banking
65,927,2024-07-16,Europe,UPI
66,191,2024-05-01,Asia,PayPal
67,926,2024-06-24,North America,PayPal
68,105,2023-08-07,Asia,UPI
69,1515,2024-05-17,Asia,UPI
70,1535,2023-12-30,Asia,Debit Card
71,738,2025-05-11,Asia,Debit Card
72,829,2024-06-20,South America,PayPal
73,734,2023-10-28,South America,Debit Card
74,1520,2025-04-11,Europe,PayPal
75,852,2024-10-28,South America,Credit Card
76,374,2023-09-25,Asia,Credit Card
77,1242,2025-02-16,South America,Debit Card
78,754,2024-08-18,Europe,PayPal
79,1718,2024-04-21,Europe,Debit Card
80,1913,2023-08-17,North America,Debit Card
81,1376,2024-08-31,Asia,PayPal
82,719,2024-11-13,Asia,PayPal
83,904,2024-03-25,Asia,Debit Card
84,1799,2023-11-18,Europe,Debit Card
85,14,2023-11-11,Europe,Net Banking
86,303,2024-01-03,North America,UPI
87,1636,2024-12-27,Europe,UPI
88,929,2023-09-15,Asia,Debit Card
89,1930,2025-06-10,Asia,Net Banking
90,118,2025-01-23,North America,Debit Card
91,923,2024-03-07,North America,Net Banking
92,1999,2024-06-28,South America,Credit Card
93,721,2024-04-04,Asia,Credit Card
94,1605,2024-04-10,North America,Net Banking
95,1712,2025-06-07,Europe,Net Banking
96,1580,2023-11-24,North America,UPI
97,1081,2024-06-13,Europe,PayPal
98,1547,2023-08-30,South America,PayPal
99,1431,2024-10-03,Europe,UPI
100,874,2023-12-31,South America,Net Banking
101,1292,2023-12-02,North America,Credit Card
102,184,2023-12-02,Europe,PayPal
103,1361,2024-04-18,Europe,Debit Card
104,953,2023-11-07,South America,UPI
105,703,2025-04-04,North America,Credit Card
106,1277,2023-11-28,Asia,Net Banking
107,1586,2025-02-26,Asia,Net Banking
